key,ui_2000,ui_2001,ui_2002,ui_2003,ui_2004,ui_2005,ui_2006,ui_2007,ui_2008,ui_2009,ui_2010,ui_2011,ui_2012,ui_2013,ui_2014,ui_2015
blat,,,4.0,6.6,13.33333333,37.88888888,62.98,85.7142857,104.76190474,127.85294113,156.31255641,183.69863009,211.91397848,255.47511312,304.73353846,345.86241429
soap,,,,,,,,,,,9.5625,36.73333333,96.725,177.96333332,269.99215686,305.96948677
seqmap,,,,,,,,,,4.66666667,10.85714286,8.07692307,10.5,11.375,15.29411764,20.40789473
methylcoder,,,,,,,,,,,,,0.625,0.41666667,0.64285714,1.2
bowtie,,,,,,,,,,,,,20.57142856,351.525,1044.671875,2006.56315769
