Software,PM Citations2018,2018_Norm,2017_Norm,2016_Norm,2015_Norm,2014_Norm,2013_Norm,2012_Norm,2011_Norm,2010_Norm,2009_Norm
Bowtie,161,0.097991479,0.186923722,0.151501832,0.07690716,0.193204775,0.225120284,0.214354374,0.396130346,0.095362168,0.02581864
BWA,0,0,0,0,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Subread,27,0.016433354,0.018105616,0.010695971,0.003448752,0.003305785,0.000506457,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bismark,38,0.023128424,0.025649623,0.02007326,0.007518278,0.012121212,0.013421119,0.007049023,0.00305499,#VALUE!,#VALUE!
BS Seeker,2,0.001217285,0.001005868,0.001172161,0.001379501,0.002938476,0.005317802,0.007689843,0.00712831,0.000521105,#VALUE!
Juicer,1,0.000608643,0.002849958,0.00043956,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BLAT,0,0,0,0,6.8975E-05,0.000550964,0.000253229,0,#VALUE!,#VALUE!,#VALUE!
SOAP,11,0.00669507,0.013076278,0.011868132,0.006897503,0.01671258,0.023803495,0.031079782,0.074338086,0.032829599,0.039672544
SOAP2,17,0.010346926,0.02263202,0.025641026,0.012346531,0.037465565,0.044821474,0.046139058,0.077393075,0.022407504,0.002518892
Segemehl,4,0.002434571,0.004358759,0.004981685,0.001586426,0.006060606,0.004304887,0.005126562,0.013238289,0.004168838,0
Cushaw,0,0,0.000670578,0.000879121,0.00041385,0.002203857,0.001012915,0.00064082,#VALUE!,#VALUE!,#VALUE!
Stampy,7,0.004260499,0.008717519,0.011868132,0.005242102,0.013406795,0.014940491,0.013457225,0.00712831,#VALUE!,#VALUE!
SeqMap,2,0.001217285,0.002514669,0.001904762,0.001517451,0.001652893,0.004304887,0.006728613,0.024439919,0.011985409,0.009445844
BatMeth,0,0,0.000167645,0.000586081,0.000344875,0.000734619,0.000253229,0.00032041,#VALUE!,#VALUE!,#VALUE!
CloudBurst,0,0,0.001341157,0.001318681,0.00096565,0.00312213,0.004051659,0.003844922,0.012219959,0.006253257,0.003778338
NextGenMap,3,0.001825928,0.003352892,0.002051282,0.000896675,0.001652893,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Isaac,2,0.001217285,0.002682313,0.001758242,0.0008277,0.001285583,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
MethylCoder,0,0,0.000335289,0.000732601,0.00041385,0.000918274,0.001772601,0.002563281,0.00101833,#VALUE!,#VALUE!
PEAR,35,0.021302495,0.027326069,0.013333333,0.002552076,0.000918274,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LAST-TRAIN,1,0.000608643,0.000335289,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
